estado;inicio;varinicio;varfim;pt_v;id;vir;inteiro;real;literal;leia;escreva;lit;num;atr;opa;se;ab_p;fc_p;entao;opr;fimse;fim;eof
0;S2;ERRO-0-varinicio;ERRO-0-varfim;ERRO-0-pt_v;ERRO-0-id;ERRO-0-vir;ERRO-0-inteiro;ERRO-0-real;ERRO-0-literal;ERRO-0-literal;ERRO-0-escreva;ERRO-0-lit;ERRO-0-num;ERRO-0-atr;ERRO-0-opa;ERRO-0-se;ERRO-0-ab_p;ERRO-0-fc_p;ERRO-0-entao;ERRO-0-opr;ERRO-0-fimse;ERRO-0-fim;ERRO-0-eof
1;ERRO-1-inicio;ERRO-1-varinicio;ERRO-1-varfim;ERRO-1-pt_v;ERRO-1-id;ERRO-1-vir;ERRO-1-inteiro;ERRO-1-real;ERRO-1-literal;ERRO-1-literal;ERRO-1-escreva;ERRO-1-lit;ERRO-1-num;ERRO-1-atr;ERRO-1-opa;ERRO-1-se;ERRO-1-ab_p;ERRO-1-fc_p;ERRO-1-entao;ERRO-1-opr;ERRO-1-fimse;ERRO-1-fim;ACC
2;ERRO-2-inicio;S4;ERRO-2-varfim;ERRO-2-pt_v;ERRO-2-id;ERRO-2-vir;ERRO-2-inteiro;ERRO-2-real;ERRO-2-literal;ERRO-2-literal;ERRO-2-escreva;ERRO-2-lit;ERRO-2-num;ERRO-2-atr;ERRO-2-opa;ERRO-2-se;ERRO-2-ab_p;ERRO-2-fc_p;ERRO-2-entao;ERRO-2-opr;ERRO-2-fimse;ERRO-2-fim;ERRO-2-eof
3;ERRO-3-inicio;ERRO-3-varinicio;ERRO-3-varfim;ERRO-3-pt_v;S12;ERRO-3-vir;ERRO-3-inteiro;ERRO-3-real;ERRO-3-literal;S10;S11;ERRO-3-lit;ERRO-3-num;ERRO-3-atr;ERRO-3-opa;S14;ERRO-3-ab_p;ERRO-3-fc_p;ERRO-3-entao;ERRO-3-opr;ERRO-3-fimse;S9;ERRO-3-eof
4;ERRO-4-inicio;ERRO-4-varinicio;S17;ERRO-4-pt_v;ERRO-4-id;ERRO-4-vir;S19;S20;S21;ERRO-4-literal;ERRO-4-escreva;ERRO-4-lit;ERRO-4-num;ERRO-4-atr;ERRO-4-opa;ERRO-4-se;ERRO-4-ab_p;ERRO-4-fc_p;ERRO-4-entao;ERRO-4-opr;ERRO-4-fimse;ERRO-4-fim;ERRO-4-eof
5;ERRO-5-inicio;ERRO-5-varinicio;ERRO-5-varfim;ERRO-5-pt_v;ERRO-5-id;ERRO-5-vir;ERRO-5-inteiro;ERRO-5-real;ERRO-5-literal;ERRO-5-literal;ERRO-5-escreva;ERRO-5-lit;ERRO-5-num;ERRO-5-atr;ERRO-5-opa;ERRO-5-se;ERRO-5-ab_p;ERRO-5-fc_p;ERRO-5-entao;ERRO-5-opr;ERRO-5-fimse;ERRO-5-fim;R1
6;ERRO-6-inicio;ERRO-6-varinicio;ERRO-6-varfim;ERRO-6-pt_v;S12;ERRO-6-vir;ERRO-6-inteiro;ERRO-6-real;ERRO-6-literal;S10;S11;ERRO-6-lit;ERRO-6-num;ERRO-6-atr;ERRO-6-opa;S14;ERRO-6-ab_p;ERRO-6-fc_p;ERRO-6-entao;ERRO-6-opr;ERRO-6-fimse;S9;ERRO-6-eof
7;ERRO-7-inicio;ERRO-7-varinicio;ERRO-7-varfim;ERRO-7-pt_v;S12;ERRO-7-vir;ERRO-7-inteiro;ERRO-7-real;ERRO-7-literal;S10;S11;ERRO-7-lit;ERRO-7-num;ERRO-7-atr;ERRO-7-opa;S14;ERRO-7-ab_p;ERRO-7-fc_p;ERRO-7-entao;ERRO-7-opr;ERRO-7-fimse;S9;ERRO-7-eof
8;ERRO-8-inicio;ERRO-8-varinicio;ERRO-8-varfim;ERRO-8-pt_v;S12;ERRO-8-vir;ERRO-8-inteiro;ERRO-8-real;ERRO-8-literal;S10;S11;ERRO-8-lit;ERRO-8-num;ERRO-8-atr;ERRO-8-opa;S14;ERRO-8-ab_p;ERRO-8-fc_p;ERRO-8-entao;ERRO-8-opr;ERRO-8-fimse;S9;ERRO-8-eof
9;ERRO-9-inicio;ERRO-9-varinicio;ERRO-9-varfim;ERRO-9-pt_v;ERRO-9-id;ERRO-9-vir;ERRO-9-inteiro;ERRO-9-real;ERRO-9-literal;ERRO-9-literal;ERRO-9-escreva;ERRO-9-lit;ERRO-9-num;ERRO-9-atr;ERRO-9-opa;ERRO-9-se;ERRO-9-ab_p;ERRO-9-fc_p;ERRO-9-entao;ERRO-9-opr;ERRO-9-fimse;ERRO-9-fim;R31
