estado;P';P;V;LV;D;L;TIPO;A;ES;ARG;CMD;LD;OPRD;COND;CAB;EXP_R;CP
0;;1;;;;;;;;;;;;;;;
1;;;;;;;;;;;;;;;;;
2;;;3;;;;;;;;;;;;;;
3;;;;;;;;5;6;;7;;;8;13;;
4;;;;15;16;;18;;;;;;;;;;
5;;;;;;;;;;;;;;;;;
6;;;;;;;;22;6;;7;;;8;13;;
7;;;;;;;;23;6;;7;;;8;13;;
8;;;;;;;;24;6;;7;;;8;13;;
9;;;;;;;;;;;;;;;;;
10;;;;;;;;;;;;;;;;;
11;;;;;;;;;;26;;;;;;;
12;;;;;;;;;;;;;;;;;
13;;;;;;;;;32;;33;;;34;13;;31
14;;;;;;;;;;;;;;;;;
15;;;;;;;;;;;;;;;;;
16;;;;37;16;;18;;;;;;;;;;
17;;;;;;;;;;;;;;;;;
18;;;;;;39;;;;;;;;;;;
19;;;;;;;;;;;;;;;;;
20;;;;;;;;;;;;;;;;;
21;;;;;;;;;;;;;;;;;
22;;;;;;;;;;;;;;;;;
23;;;;;;;;;;;;;;;;;
24;;;;;;;;;;;;;;;;;
25;;;;;;;;;;;;;;;;;
26;;;;;;;;;;;;;;;;;
27;;;;;;;;;;;;;;;;;
28;;;;;;;;;;;;;;;;;
29;;;;;;;;;;;;;;;;;
30;;;;;;;;;;;;43;44;;;;
31;;;;;;;;;;;;;;;;;
32;;;;;;;;;32;;33;;;34;13;;47
33;;;;;;;;;32;;33;;;34;13;;48
34;;;;;;;;;32;;33;;;34;13;;49
35;;;;;;;;;;;;;;;;;
36;;;;;;;;;;;;;51;;;50;
37;;;;;;;;;;;;;;;;;
38;;;;;;;;;;;;;;;;;
39;;;;;;;;;;;;;;;;;
40;;;;;;;;;;;;;;;;;
41;;;;;;;;;;;;;;;;;
42;;;;;;;;;;;;;;;;;
43;;;;;;;;;;;;;;;;;
44;;;;;;;;;;;;;;;;;
45;;;;;;;;;;;;;;;;;
46;;;;;;;;;;;;;;;;;
47;;;;;;;;;;;;;;;;;
48;;;;;;;;;;;;;;;;;
49;;;;;;;;;;;;;;;;;
50;;;;;;;;;;;;;;;;;
51;;;;;;;;;;;;;;;;;
52;;;;;;;;;;;;;;;;;
53;;;;;;58;;;;;;;;;;;
54;;;;;;;;;;;;;;;;;
55;;;;;;;;;;;;;59;;;;
56;;;;;;;;;;;;;;;;;
57;;;;;;;;;;;;;61;;;;
58;;;;;;;;;;;;;;;;;
59;;;;;;;;;;;;;;;;;
60;;;;;;;;;;;;;;;;;
61;;;;;;;;;;;;;;;;;
